property_id,property_russian,canonical_name,category_russian,category,canonical_unit,unit_rule,description
rcsi282682_potassium,"калий (источник-специфичный ряд, табл. 2)",Potassium [rcsi282682 Table 2],почвенные измерения,soil_measurement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
soil_fraction_0_005_0_01,почвенная фракция 0.005–0.01 мм,soil particle fraction 0.005-0.01 mm,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
clay_001_9315010160,ил <0.001 мм (источник-специфичный ряд),<0.001 mm clay [9315010160],физические свойства почвы,soil_physical_properties,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
manual_9323603402_tp,"общий фосфор (TP, источник-специфичный ряд)",TP,физико-химические свойства,soil_physicochemical,g/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
rso9325601337_caco3,карбонат кальция (источник-специфичный ряд),calcium carbonate [9325601337],неорганические вещества,inorganic,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
manual_9321120073_total_P,общий фосфор (источник-специфичный ряд),Total P,свойства почвенных мелиорантов,soil_amendment_properties,g/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
ash_content_931404005X,зольность (источник-специфичный ряд),ash content [931404005X],химические свойства почвы,soil_chemistry,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
redox_fraction_low_potential,"доля от общего количества, низкий окислительный потенциал","fraction of total amount, low oxidation potential",геохимические свойства,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,"Split out of a mis-merged fallback property_id, 2026-08-11."
manual_2260124_xp,доля добавки x в смеси,xp,свойства почвенных мелиорантов,soil_amendment_properties,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,"Experimental design variable (amendment dose), not a soil property theme."
manual_1911009_total_sodium,натрий общий [Pochved1911009 Table 1],,,,,,
manual_9311030094_spore_forming_bacteria,доля спорообразующих бактерий среди почвенных микроорганизмов [9311030094],,,,,,
manual_9311030094_microscopic_fungi,доля микроскопических грибов среди почвенных микроорганизмов [9311030094],,,,,,
manual_9311030094_bacteria,доля бактерий среди почвенных микроорганизмов [9311030094],,,,,,
manual_9311030094_actinomycetes,доля актиномицетов среди почвенных микроорганизмов [9311030094],,,,,,
manual_9324600106_pH_KCl,pH солевой (KCl) [9324600106],,,,,,
manual_9324600106_Ctot,C общий [9324600106],,,,,,
manual_9324600106_Ca2,Ca²⁺ [9324600106],,,,,,
manual_9306130163_mg,Mg [10.1134/S1064229306130163],,,,,,
manual_9306130163_na,Na [10.1134/S1064229306130163],,,,,,
manual_9306130163_ph,pH [10.1134/S1064229306130163],,,,,,
manual_9306130163_ca,Ca [10.1134/S1064229306130163],,,,,,
manual_9324600106_Mg2,Mg²⁺ [9324600106],,,,,,
manual_9306130163_k,K [10.1134/S1064229306130163],,,,,,
manual_9306130163_corg,C орг. [10.1134/S1064229306130163],,,,,,
manual_9321060090_BC,чёрный углерод (BC) в почве [9321060090],,,,,,
manual_9321060090_BC_OC,отношение BC/OC в почве [9321060090],,,,,,
manual_9321060090_OC,органический углерод (OC) в почве [9321060090],,,,,,
manual_9321060090_d13C_BC,δ¹³C чёрного углерода в почве [9321060090],,,,,,
manual_9321060090_d13C_OC,δ¹³C органического углерода в почве [9321060090],,,,,,
manual_9321060090_d13C_OC_BC,разница δ¹³C (OC−BC) в почве [9321060090],,,,,,
manual_9324600106_Fe2O3ox,Fe₂O₃ (по Тамму),,,,,,
rcsi356178_xrd_d_A,межплоскостное расстояние РСА (d),,,,,,
rcsi356178_xrd_intensity_pct,интенсивность пика РСА (I),,,,,,
rcsi308809_density,плотность сложения [rcsi308809],,,,,,
rcsi308809_stock,запас углерода почвы [rcsi308809],,,,,,
rcsi308809_corg,C орг. [rcsi308809],,,,,,
rcsi308805_magnetic_mass_1e8_m3_kg,удельная магнитная восприимчивость,,,,,,
manual_9324600106_particles_lt_0001,"сумма частиц <0,001 мм",,,,,,
manual_9324600106_particles_lt_001,"сумма частиц <0,01 мм",,,,,,
rcsi356176_frac_001_0005_pct,"0,01–0,005 мм",,,,,,
rcsi356176_frac_1_025_pct,"1–0,25 мм",,,,,,
rcsi356176_frac_025_005_pct,"0,25–0,05 мм",,,,,,
rcsi356176_frac_005_001_pct,"0,05–0,01 мм",,,,,,
rcsi356176_ca_exchangeable_mol_kg,обменный Ca²⁺,,,,,,
rcsi356176_frac_0005_0001_pct,"0,005–0,001 мм",,,,,,
rcsi356176_ph_h2o,pH водный,,,,,,
rcsi356176_mg_exchangeable_mol_kg,обменный Mg²⁺,,,,,,
rcsi356176_fine_lt001_pct,"<0,01 мм суммарно",,,,,,
rcsi356176_frac_lt0001_pct,"<0,001 мм",,,,,,
rcsi308805_relative_magnetic_ratio,"χ/χs (магнитная восприимчивость, отношение)",,,,,,
rcsi308805_magnetic_volume_1e5_si,объёмная магнитная восприимчивость,,,,,,
rcsi308805_bulk_density_1e3_kg_m3,плотность сложения,,,,,,
aggregate_stability_index,индекс агрегатной устойчивости,,,,,,
rcsi280285_corg,органический углерод (Cорг.) [rcsi280285],,,,,,
rcsi280285_cn,неорганический углерод Cн [rcsi280285],,,,,,
rcsi280285_ph_h2o_c,pH водный (c) [rcsi280285],,,,,,
rcsi356176_corg_pct,C орг.,,,,,,
c_1912004,органический углерод C [1912004 direct],,,,,,
ca_1912004,обменный Ca [1912004 direct],,,,,,
rso_9307010048_ph_salt,pH почвы (солевая вытяжка) [9307010048],,,,,,
ph_1912004,pH водный [1912004 direct],,,,,,
rso_9307010048_ph_water_i,"pH почвы (водная вытяжка, вариант I) [9307010048]",,,,,,
k_1912004,подвижный K₂O [1912004 direct],,,,,,
dry_residue_1912004,сухой остаток [1912004 direct],,,,,,
p_1912004,подвижный P₂O₅ [1912004 direct],,,,,,
na_1912004,обменный Na [1912004 direct],,,,,,
mg_1912004,обменный Mg [1912004 direct],,,,,,
n_alk_1912004,щёлочногидролизуемый азот [1912004 direct],,,,,,
pore_areal_density,плотность пор (площадная),,,,,,
manual_9323603402_clay,глина [9323603402],,,,,,
manual_9323603402_sand,песок [9323603402],,,,,,
manual_9323603402_silt,пыль [9323603402],,,,,,
rcsi405789_psd_lt0001_pct,"<0,001 мм",,,,,,
rcsi405789_psd_0005_0001_pct,"0,005–0,001 мм",,,,,,
rcsi405789_psd_001_0005_pct,"0,01–0,005 мм",,,,,,
rcsi273573_cn_ratio,C/N [rcsi273573],,,,,,
rcsi405789_psd_005_001_pct,"0,05–0,01 мм",,,,,,
rcsi405789_psd_025_005_pct,"0,25–0,05 мм",,,,,,
rcsi405789_psd_1_025_pct,"1–0,25 мм",,,,,,
rcsi405789_psd_lt001_pct,"<0,01 мм",,,,,,
soil_respiration_rate,удельный поток CO₂ (дыхание почвы),,,,,,
manual_930607012X_t6,"стронций в сухом веществе растений [10.1134/S106422930607012X, Table 6]",,,,,,
anthracene_9314090087,антрацен [9314090087],,,,,,
tetraphene_9314090087,тетрафен [9314090087],,,,,,
dibenzothiophene_9314090087,дибензотиофен [9314090087],,,,,,
chrysene_9314090087,хризен [9314090087],,,,,,
total_pahs_9314090087,сумма ПАУ [9314090087],,,,,,
fluorene_9314090087,флуорен [9314090087],,,,,,
benzkfluoranthene_9314090087,бензфлуорантен [9314090087],,,,,,
rcsi405789_clay_resonator_pct,илистая фракция (резонатор),,,,,,
rcsi405789_humus_pct,гумус,,,,,,
benzoaperylene_9314090087,бензперилен [9314090087],,,,,,
coronene_9314090087,коронен [9314090087],,,,,,
naphthalene_9314090087,нафталин [9314090087],,,,,,
benzogh i perylene_9314090087,бензперилен [9314090087],,,,,,
benzoepyrene_9314090087,бензпирен [9314090087],,,,,,
pyrene_9314090087,пирен [9314090087],,,,,,
benzoapyrene_9314090087,бензпирен [9314090087],,,,,,
phenanthrene_9314090087,фенантрен [9314090087],,,,,,
dehydrogenase_931501007X,дегидрогеназа [931501007X],,,,,,
phosphatase_931501007X,фосфатаза [931501007X],,,,,,
catalase_931501007X,каталаза [931501007X],,,,,,
ph_h2o_931501007X,pH водный [931501007X],,,,,,
invertase_931501007X,инвертаза [931501007X],,,,,,
humus_931501007X,содержание гумуса [931501007X],,,,,,
urease_931501007X,уреаза [931501007X],,,,,,
rso_rcsi405751_carbon_stock_t2,запас углерода почвы [rcsi405751 T2],,,,,,
manual_9310100017_t2_pH_water,pH водный [10.1134/S1064229310100017],,,,,,
rcsi356174_t04_1_025_pct,"1,0–0,25 мм (агрегат)",,,,,,
rcsi356174_t04_lt001_total_pct,"<0,01 мм суммарно",,,,,,
rcsi356174_t04_lt0001_pct,"<0,001 мм (агрегат)",,,,,,
rcsi356174_t04_hcl_loss_pct,потери при обработке HCl,,,,,,
rcsi356174_t04_coarse_gt1mm_pct,крупный материал >1 мм,,,,,,
fraction_025_005_9318090132,"0,25–0,05 мм [9318090132]",,,,,,
rcsi356174_t04_025_005_pct,"0,25–0,05 мм (агрегат)",,,,,,
fraction_lt0001_9318090132,"<0,001 мм [9318090132]",,,,,,
rcsi356174_t04_005_001_pct,"0,05–0,01 мм (агрегат)",,,,,,
fraction_1_025_9318090132,"1,00–0,25 мм [9318090132]",,,,,,
fraction_0005_0001_9318090132,"0,005–0,001 мм [9318090132]",,,,,,
fraction_001_0005_9318090132,"0,01–0,005 мм [9318090132]",,,,,,
fraction_lt001_9318090132,"<0,01 мм [9318090132]",,,,,,
fraction_005_001_9318090132,"0,05–0,01 мм [9318090132]",,,,,,
rcsi356174_t04_001_0005_pct,"0,01–0,005 мм (агрегат)",,,,,,
rcsi356174_t04_0005_0001_pct,"0,005–0,001 мм (агрегат)",,,,,,
rcsi356174_p2o5_pct,P₂O₅,,,,,,
rcsi356174_loi_pct,ППП (потери при прокаливании),,,,,,
rcsi356174_sio2_pct,SiO₂,,,,,,
rcsi356174_tio2_pct,TiO₂,,,,,,
rcsi356174_mgo_pct,MgO,,,,,,
rcsi356174_fe2o3_pct,Fe₂O₃,,,,,,
rcsi356174_al2o3_pct,Al₂O₃,,,,,,
rcsi356174_cao_pct,CaO,,,,,,
rcsi356174_k2o_pct,K₂O,,,,,,
rcsi356174_na2o_pct,Na₂O,,,,,,
stability_bound_to_silicates,связано с силикатами (устойчивая форма),,,,,,
soil_aggregate_silt_0_25_mm,"пыль, <0,25 мм",,,,,,
manual_2108004_ph_water,pH водный [2108004],,,,,,
rcsi259375_al2o3_pct,Al₂O₃,,,,,,
manual_2108004_frac_lt_0001,"фракция <0,001 мм [2108004]",,,,,,
manual_2108004_frac_100_025,"фракция 1,00–0,25 мм [2108004]",,,,,,
manual_2108004_frac_025_005,"фракция 0,25–0,05 мм [2108004]",,,,,,
manual_2108004_frac_005_001,"фракция 0,05–0,01 мм [2108004]",,,,,,
manual_2108004_frac_0005_0001,"фракция 0,005–0,001 мм [2108004]",,,,,,
manual_2108004_frac_001_0005,"фракция 0,01–0,005 мм [2108004]",,,,,,
rcsi259375_exchangeable_ca_mmol_100g,обменный Ca,,,,,,
rcsi259375_co2_carbonate_pct,карбонатный CO₂,,,,,,
rcsi259375_exchangeable_mg_mmol_100g,обменный Mg,,,,,,
rcsi259375_ph_h2o,pH водный,,,,,,
rcsi259375_k2o_mg_100g,K₂O подвижный (по Кирсанову),,,,,,
rcsi259375_corg_pct,C орг.,,,,,,
rcsi259375_exchangeable_na_mmol_100g,обменный Na,,,,,,
rcsi259375_fe2o3_pct,Fe₂O₃,,,,,,
rcsi259375_p2o5_mg_100g,P₂O₅ подвижный (по Кирсанову),,,,,,
rcsi259375_exchangeable_k_mmol_100g,обменный K,,,,,,
rcsi259375_exchangeable_bases_mmol_100g,сумма обменных оснований,,,,,,
rcsi306469_cn,C/N [rcsi306469],,,,,,
rcsi306469_ph,pH [rcsi306469],,,,,,
rcsi306469_n,N общий [rcsi306469],,,,,,
soil_gypsum_content,содержание гипса в почве,,,,,,
manual_9310100017_t2_pH_salt,pH солевой [10.1134/S1064229310100017],,,,,,
naexch_9314070102,Na обменный [9314070102],,,,,,
rcsi289041_exchange_bases,сумма обменных оснований,,,,,,
manual_9307010024_cec,ёмкость катионного обмена [10.1134/S1064229307010024],,,,,,
rcsi289041_k2o,K₂O [rcsi289041],,,,,,
rcsi289041_nitrate_n,нитратный азот,,,,,,
rcsi289041_p2o5,P₂O₅ [rcsi289041],,,,,,
rcsi289041_ph_kcl,pH солевой (KCl) [rcsi289041],,,,,,
total_toxic_salts_9314070102,"токсичные соли, сумма [9314070102]",,,,,,
manual_930607012X_t3,"показатель кислотности [10.1134/S106422930607012X, Table 3]",,,,,,
manual_930607012X_t5,"урожайность [10.1134/S106422930607012X, Table 5]",,,,,,
rcsi289041_hydro_acidity,гидролитическая кислотность [rcsi289041],,,,,,
